ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
DEOC_ECOLI,0.34,0.33,0.48,0.5,0.38,0.35,0.44,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44,im
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
DDLB_ECOLI,0.53,0.38,0.48,0.5,0.44,0.26,0.36,cp
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
ARAC_ECOLI,0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
FABB_ECOLI,0.65,0.47,0.48,0.5,0.59,0.3,0.4,cp
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,cp
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
